;statement;issue;person;channel;truth
35;Charleroi, Pennsylvania, “has grown by 2,000% due to an influx in migrants.”;2024-senate-elections;Dave McCormick; in an X post;false
36;Rep. Ruben Gallego’s “first act in Congress was to propose legislation to BAN the use of the term ‘illegal alien.’”;2024-senate-elections;Kari Lake; in a post on X;false
37;Of Bernie Moreno, “Now, he’s arguing for a national abortion ban, no exceptions.”;2024-senate-elections;Sherrod Brown; in a TV interview;half-true
38;“Illegal” Haitians in Springfield, Ohio, are “reportedly killing and eating pets.”;2024-senate-elections;Bernie Moreno; in an Instagram post;pants-fire
39;"""Typically you have three to four debates in a U.S. Senate race. (Sen. Tammy Baldwin, D-Wis. has) given me one debate, almost a month after early voting has started.""";2024-senate-elections;Eric Hovde; in TV interview;mostly-true
40;The “‘Inflation Reduction Act’ increased inflation and drove prices sky high!”;2024-senate-elections;Tim Sheehy; in an X post;false
41;Mike Rogers supported “laws that could eliminate IVF and birth control.”;2024-senate-elections;Elissa Slotkin; in a TV ad;half-true
42;Proposed Nevada constitutional amendment to protect abortion rights would put “essentially no limit on access to abortion.”;2024-senate-elections;Sam Brown; in a campaign appearance;false
43;Tim Sheehy “would let politicians like him ban abortion, with no exceptions for rape or to save a woman’s life, and criminalize women.”;2024-senate-elections;Jon Tester; in a Facebook ad;barely-true
44;“Sen. Jacky Rosen voted to increase taxes on families making less than $75,000 a year.”;2024-senate-elections;One Nation; in an ad;barely-true
45;Elissa Slotkin “gave your hard-earned tax money to illegal immigrants.”;2024-senate-elections;National Republican Senatorial Committee; in an Instagram ad;false
46;"U.S. Sen. Sherrod Brown voted to “give illegals taxpayer funded stimulus checks, health care, even Social Security.""";2024-senate-elections;Bernie Moreno; in a campaign ad;false
47;Rep. Elissa Slotkin “voted recently to let illegals vote in U.S. elections.”;2024-senate-elections;Mike Rogers; in a campaign rally;false
48;Ruben Gallego wants to “cut your Social Security.”;2024-senate-elections;Kari Lake; in on social media platform X;false
49;Sen. Bob Casey “voted to sell American oil to China.”;2024-senate-elections;Dave McCormick; in a TV ad;false
50;Rep. Elissa Slotkin’s vote for the 2022 Inflation Reduction Act was a vote to “cut Medicare benefits for seniors.”;2024-senate-elections;Mike Rogers; in a blog post;false
51;“Prices are up because these corporations are scheming to drive them up.”;2024-senate-elections;Bob Casey; in a speech at the 2024 Democratic National Convention;barely-true
52;"Says U.S. Sen. Tammy Baldwin ""believes taxpayer dollars should be used for abortion.""";2024-senate-elections;Bryan Steil; in TV interview;half-true
53;Jacky Rosen “said ending taxes on tips would ‘hurt working Nevada families.’”;2024-senate-elections;Sam Brown; in an X post;false
54;Mike Rogers “left Michigan to trade on his D.C. connections, helping Chinese tech companies get access to the U.S.”;2024-senate-elections;Elissa Slotkin; in Meta ad;false
55;Says U.S. Sen. Tammy Baldwin “has done absolutely nothing” about the fentanyl crisis.;2024-senate-elections;Eric Hovde; in Public appearance;false
56;Sam Brown “said abortion should be banned without any exceptions for rape or incest.”;2024-senate-elections;Jacky Rosen; in a campaign ad;half-true
57;El senador Rick Scott no apoya las excepciones al aborto.;2024-senate-elections;Debbie Mucarsel-Powell; in un anuncio de radio de campaña;false
58;“Bob Casey and Kamala Harris want to BAN fracking.”;2024-senate-elections;Dave McCormick; in an X post;false
59;Republican Senate candidate Dave McCormick “wants to outlaw abortions.”;2024-senate-elections;Democratic Senatorial Campaign Committee; in TV ad;barely-true
60;Sen. Rick Scott does not support abortion exceptions.;2024-senate-elections;Debbie Mucarsel-Powell; in an ad;false
61;Eric Hovde “wants to repeal the Affordable Care Act, and kick millions off their health insurance.”;2024-senate-elections;Tammy Baldwin; in Public appearance;true
62;“Just last week, Ruben Gallego voted to let the millions of people who poured into our country illegally cast a ballot in this upcoming election.”;2024-senate-elections;Kari Lake; in in a speech at RNC in Milwaukee;false
63;“Elective abortions up to and including the moment of birth. Healthy, 9-month-year-old baby killed at the moment of birth. That’s what Jon Tester and the Democrats have voted for.”;2024-senate-elections;Tim Sheehy; in in a U.S. Senate candidate debate;false
64;“Abortion clinics warn they’ll go bankrupt if Democrat ‘sex strike’ continues.”;abortion;Viral image; in an Instagram post;false
65;Una mujer posó junto a su hija con un cartel que dice, “Quiero que mi hija tenga el derecho a abortar que yo no tuve”.;abortion;Social Media; in una publicación en redes sociales;false
66;A woman holds a sign that says, “I want my daughter to have the right to abortion that I didn’t have.”;abortion;Social Media; in social media posts;false
67;“Abortion is never medically necessary in the last trimester. Literally never. They just do a C-section.”;abortion;Threads posts; in a Threads post;false
68;Former President Donald Trump would “force states to monitor women's pregnancies.”;abortion;Kamala Harris; in a speech in Washington, D.C.;false
69;At Vice President Kamala Harris’ Houston campaign rally, when an attendee had a medical emergency, none of the “abortion doctors” onstage helped.;abortion;Instagram posts; in an Instagram post;false
70;Kamala Harris imprisoned a woman for three years for praying.;abortion;Instagram posts; in a video;false
71;Gubernatorial candidate Kelly Ayotte “has voted for national abortion bans, she has voted to defund Planned Parenthood, and she shepherded Neil Gorsuch through the Supreme Court process, and then celebrated when Roe v. Wade was overturned.”;abortion;Joyce Craig; in an interview with WMUR-TV;half-true
72;“Dave McCormick is fully against abortion.”;abortion;WinSenate; in a Meta ad;barely-true
73;Republican state Senate candidate Ashlee Adams “campaigned for Mark Robinson and his radical agenda.”;abortion;Terence Everitt; in a campaign advertisement;false
74;Laurie Buckhout is “trying to get to Congress to pass a national abortion ban, allowing politicians to ban abortions with no exceptions and prosecute women if they get an abortion, treating women right here like criminals.”;abortion;House Majority PAC; in a television ad;barely-true
75;U.S. Senate candidate Mike Rogers “believes he should make that decision” about whether to end pregnancies.;abortion;Elissa Slotkin; in a Meta ad;barely-true
76;“Unlike other amendments, Amendment 4 has no definitions. … Without definitions these words can mean almost anything.”;abortion;Vote No on 4; in a TV ad;barely-true
77;Of Bernie Moreno, “Now, he’s arguing for a national abortion ban, no exceptions.”;abortion;Sherrod Brown; in a TV interview;half-true
78;“In 12 states, children born alive after a failed abortion have no legal protection, and in three more states children born alive after an abortion had legal rights that governors — like Tim Walz — repealed.”;abortion;Tony Perkins; in a Facebook post;false
79;“In Project 2025, you’re going to have to register with a new federal agency when you get pregnant.”;abortion;Tim Walz; in a speech;false
80;Mike Rogers supported “laws that could eliminate IVF and birth control.”;abortion;Elissa Slotkin; in a TV ad;half-true
81;"""Debate moderators made the false claim to Donald Trump that there is nowhere in the United States where abortion is legal up until birth.""";abortion;Instagram posts; in an Instagram post;false
82;Florida’s six-week abortion law has “no real exceptions. Not for her health. Not even for rape.”;abortion;Yes on 4; in a TV ad;barely-true
83;Proposed Nevada constitutional amendment to protect abortion rights would put “essentially no limit on access to abortion.”;abortion;Sam Brown; in a campaign appearance;false
84;Tim Sheehy “would let politicians like him ban abortion, with no exceptions for rape or to save a woman’s life, and criminalize women.”;abortion;Jon Tester; in a Facebook ad;barely-true
85;“JD Vance actually sent a letter last year to the Department of Justice saying, ‘enforce the Comstock Act.’”;abortion;Elizabeth Warren; in an interview;true
86;"Says U.S. Sen. Tammy Baldwin ""believes taxpayer dollars should be used for abortion.""";abortion;Bryan Steil; in TV interview;half-true
87;Sam Brown “said abortion should be banned without any exceptions for rape or incest.”;abortion;Jacky Rosen; in a campaign ad;half-true
88;El senador Rick Scott no apoya las excepciones al aborto.;abortion;Debbie Mucarsel-Powell; in un anuncio de radio de campaña;false
89;Republican Senate candidate Dave McCormick “wants to outlaw abortions.”;abortion;Democratic Senatorial Campaign Committee; in TV ad;barely-true
90;Sen. Rick Scott does not support abortion exceptions.;abortion;Debbie Mucarsel-Powell; in an ad;false
91;“Elective abortions up to and including the moment of birth. Healthy, 9-month-year-old baby killed at the moment of birth. That’s what Jon Tester and the Democrats have voted for.”;abortion;Tim Sheehy; in in a U.S. Senate candidate debate;false
92;Project 2025 mandates women carry “period passports” to “track their menstrual cycles” and “monitor pregnancies.”;abortion;Threads posts; in a Threads post;false
93;C-sections are coded as abortions in hospitals.;abortion;Threads posts; in a Threads post;false
94;"""Every Senate Democrat has voted to support unlimited abortions up to the moment of birth.”";abortion;Ron Johnson; in Podcast;false
95;Anti-abortion activist sentenced to 57 months in prison for “handing roses and resources to women at an abortion facility.”;abortion;Lila Rose; in an Instagram post;false
96;Sen. Katie Britt introduced a bill “to create a national registry of pregnant women.”;abortion;X posts; in an X post;false
97;For health risk exceptions in Florida’s abortion amendment, “You're not even talking to a doctor to make that determination.”;abortion;Paul Renner; in an interview;false
98;Former President Donald Trump told Time magazine that “states should monitor women’s pregnancies and prosecute those who violate abortion bans.”;abortion;Joe Biden; in a campaign event;barely-true
99;In his Time magazine interview, Donald Trump “said states have the right to monitor pregnant women to enforce these bans, and states have the right to punish pregnant women for seeking out abortion care.”;abortion;Kamala Harris; in a speech;mostly-true
100;"Florida’s Amendment 4 ""will mandate abortion until the moment of birth.”";abortion;Ron DeSantis; in a news conference;false
101;“The 1864 Arizona law forbidding abortions, upheld by the State Supreme Court, also sets the age of consent for females at 10 years.”;abortion;Stephen King; in an X post;barely-true
102;"""All legal scholars, both sides, wanted, and in fact demanded” that Roe v. Wade be overturned.";abortion;Donald Trump; in a video posted on Truth Social;false
103;"“Support for Roe is higher today in America than it has ever been.""";abortion;Joe Biden; in a Facebook post;mostly-true
104;Democrats support abortion measures that result in the “execution” of babies “after birth.”;abortion;Donald Trump; in a video posted on Truth Social;false
105;If a woman in Texas takes “abortion pills voluntarily,” she would be “charged with murder.”;abortion;Instagram posts; in an Instagram post;false
106;“The law in Wisconsin (on abortion time limit) is 20 weeks. That is way outside the international bounds.”;abortion;Robin Vos; in TV interview;barely-true
107;"""(The) top issue for college students is the economy.""";abortion;Scott Walker; in TV interview;true
108;“Today in America, 1 in 3 women of reproductive age live in a state with an abortion ban.”;abortion;Kamala Harris; in a speech;true
109;"""After Roe was dismantled, extremists evoked a law from 1849 to stop abortion”  in Wisconsin.";abortion;Kamala Harris; in Speech;false
110;“Almost a million people, mostly Democrats, have been kicked off the voter roll here in Florida” because of efforts to place a proposed amendment on abortion access on the state’s 2024 ballot.;abortion;TikTok posts; in a TikTok;barely-true
111;North Carolina Attorney General and gubernatorial candidate Josh Stein “supports taxpayer-funded abortion on demand with no restrictions up until birth.”;abortion;Mark Robinson; in a social media post;false
112;In Florida, “any woman who has an abortion after six weeks — and any doctor who gives her care — will be guilty of a felony.”;abortion;Gavin Newsom; in a statement on X;half-true
113;Quotes House Speaker Mike Johnson as saying, “Every woman has a duty to birth at least one able-bodied worker.”;abortion;Instagram posts; in an Instagram post;false
114;Ohio’s Issue 1 “allows for abortion after viability for…financial reasons.”;abortion;Protect Women Ohio; in a video;false
115;Republicans in Congress are “trying to wipe out federal funding to end the HIV epidemic.”;abortion;Joe Biden; in remarks at the 2023 Human Rights Campaign National Dinner;half-true
116;"""The repeal of Roe v. Wade has exacerbated the state’s OB-GYN shortage as residency programs report a decline in enrollment due to the inability of residents to receive training in-state.""";abortion;Opportunity Wisconsin; in News release;half-true
117;Video shows Donald Trump believes “there has to be some form of punishment” for women who have abortions.;abortion;Joe Biden; in an ad;barely-true
118;“In some liberal states, you actually have post-birth abortions.”;abortion;Ron DeSantis; in an interview;false
119;Videos show Planned Parenthood “aiding sex traffickers in their crimes.”;abortion;Instagram posts; in an Instagram post;false
120;“The fact is, today abortion law in the United States is more aligned with China and North Korea than with Western nations in Europe.”;abortion;Mike Pence; in a speech;barely-true
121;On exceptions to Wisconsin's abortion ban;abortion;Derrick Van Orden; in Radio interview;half-flip
122;“(I will oppose) any attempt to restrict or deny women’s basic health care needs.”;abortion;Tricia Cotham; in a vote;full-flop
123;Four North Carolina Republicans made “campaign promises” to protect reproductive rights;abortion;Roy Cooper; in a video posted to Twitter;half-true
124;Sen. Tommy Tuberville is preventing military promotions “because he objects to women within the military getting access to reproductive care.”;abortion;Charles Schumer; in a Senate floor speech;half-true
125;“The abortion pill has been linked to the deaths of at least 28 women in the U.S. alone.”;abortion;Instagram posts; in an Instagram post;barely-true
126;Abortion pills are dangerous and “1 in 5 women will suffer a complication.”;abortion;Alliance Defending Freedom; in a Facebook post;false
127;Walgreens’ position “has always been” to “dispense Mifepristone in any jurisdiction where it is legally permissible to do so.”;abortion;Walgreens; in a statement;mostly-true
128;"“More contraception availability increases abortion demand.""";abortion;Instagram posts; in an Instagram post;false
129;“Every pro-life Governor up for election in November won – by a large margin.”;abortion;Scott Walker; in Twitter;mostly-true
130;“Kevin Adams wants to ban abortion.”;abortion;Aaron Rouse; in a TV ad.;barely-true
131;“An overwhelming majority of Wisconsinites support restoring #Roe and legalizing marijuana.”;abortion;Tony Evers; in Twitter;mostly-true
132;Herschel Walker “wants a nationwide ban on abortion” and said no exceptions “not even for rape or incest or life of the mother.”;abortion;Raphael Warnock; in a speech;mostly-true
133;California’s Proposition 1 includes “a right to abortion up-to-birth.”;abortion;Instagram posts; in a post;barely-true
134;They were “never my comments” that a woman can’t get pregnant from rape.;abortion;Yesli Vega; in an interview.;half-true
135;Abraham Hamadeh says he will “lock up doctors, nurses, pharmacists” and “punish women for abortion.”;abortion;Kris Mayes; in a tweet;half-true
136;"If a 12-year-old girl became pregnant because of rape or incest, ""Tim Michels would force her to deliver the baby.""";abortion;Tony Evers; in Campaign ad;mostly-true
137;“Mandela Barnes came out in favor of abortion up until the moment of birth.”;abortion;National Republican Senatorial Committee; in News release;barely-true
138;Kari Lake has “gone on the record saying she supports Arizona's complete abortion ban. She's called it a great law.”;abortion;Katie Hobbs; in an interview on CBS News' Face the Nation;mostly-true
139;“Katie Hobbs voted for allowing a baby who survives an abortion — that the hospital would refuse medical care and allow the baby to die on a cold metal tray.”;abortion;Kari Lake; in an interview on CBS News' Face the Nation;barely-true
140;Adam Laxalt “would let Nevada and other states ban abortion with zero exceptions.”;abortion;Democratic Senatorial Campaign Committee; in an ad;half-true
141;Wiley Nickel supports “abortion all the way up until the point of birth, even post-birth.”;abortion;Bo Hines;" in an interview on WRAL's ""On the Record""";false
142;Ted Budd “helped write legislation to outlaw abortion nationwide with no exceptions for rape or incest — a law that could even put doctors in jail.”;abortion;EMILY's List; in a political ad;half-true
143;"Says Mandela Barnes supports killing “preemies” – “infants born prior to 37 weeks of pregnancy""";abortion;Restoration PAC; in Digital ad;pants-fire
144;On exceptions to Wisconsin’s abortion ban.;abortion;Tim Michels; in Radio interview;full-flop
145;“Jen Kiggans’ campaign confirmed today that she would support a national abortion ban.”;abortion;Elaine Luria; in a tweet.;half-true
146;“With Proposition 1, the number of abortion seekers from other states will soar even higher, costing taxpayers millions more.”;abortion;California Together, No On Proposition 1; in comments on its website;barely-true
147;"Says Tim Michels' family foundation ""funded an organization that tracks women when they get near abortion clinics … he wants to treat women like they're the criminals.""";abortion;Liberal Groups; in TV ad;barely-true
148;Blake Masters does not support abortion exceptions for rape and incest.;abortion;Senate Majority PAC; in an ad;mostly-true
149;"""Val Demings supports abortion up until the moment of birth.""";abortion;Marco Rubio; in a tweet;barely-true
150;“Ron Johnson just came out in favor of a federal abortion ban.”;abortion;Mandela Barnes; in Twitter;barely-true
151;Three churches were targeted during arson attacks over the summer “because they protect unborn babies and women in need.”;abortion;CatholicVote; in an ad;barely-true
152;Blake Masters “wants to pass a national ban on abortion.”;abortion;Mark Kelly; in an ad;mostly-true
153;"""Brian Kemp wants to investigate and punish women for having miscarriages.""";abortion;Stacey Abrams; in an ad;false
154;"""Under Abbott, Texas leads the nation in rape offenses while the rate of arrests for rape has fallen by nearly half.""";abortion;Beto O'Rourke; in an Instagram post;mostly-true
155;Overturning Roe v. Wade was an “unconstitutional action by” the Supreme Court.;abortion;Karine Jean-Pierre; in a White House briefing;false
156;“In no way, shape, or form is access to contraception limited or at risk of being limited.”;abortion;Kat Cammack; in a speech on the floor of the U.S. House of Representatives;false
157;Sen. Mark Kelly “voted to legalize abortion up until the moment of birth.”;abortion;Blake Masters; in remarks at a Trump rally in Arizona;barely-true
158;“Abigail Spanberger is raking in thousands from defund the police groups because she supports defunding the police.”;abortion;National Republican Congressional Committee; in a blog.;false
159;The Democrats’ Women’s Health Protection Act of 2022 “would permit abortion up until delivery.”;abortion;Mariannette Miller-Meeks; in a newsletter;barely-true
160;“Virginia now has the most liberal abortion laws in the world.”;abortion;Dave LaRock; in a speech.;barely-true
161;Rep. Alexandria Ocasio-Cortez was “faking being arrested” during an abortion-rights protest outside the Supreme Court.;abortion;Instagram posts; in an Instagram post;false
162;Mehmet Oz “wants to make abortion a crime in Pennsylvania.”;abortion;Planned Parenthood Votes; in an ad;half-true
163;Lee Zeldin “voted for abortion bans even when the mother’s health is at risk.”;abortion;Kathy Hochul; in a campaign advertisement;mostly-true
164;"""If a 10-year-old became pregnant as a result of rape and it was threatening her life, then that’s not an abortion.""";abortion;Catherine Glenn Foster; in a congressional hearing;false
165;Abortion is available at any point of pregnancy and for any reason in Alaska, Colorado, New Jersey, New Mexico, Oregon and Vermont.;abortion;Focus on the Family; in ads;barely-true
166;“Ninety-two percent of abortions in Virginia take place before 15 weeks.”;abortion;Bob Good; in an anti-abortion rally.;mostly-true
167;“Charlie Crist is pro-life.”;abortion;Nikki Fried; in a campaign ad;barely-true
168;Planned Parenthood clinics are “closing down all over the country” because Roe v. Wade was overturned.;abortion;Facebook posts; in a post;barely-true
169;“Plan B can cause an abortion. It’s right there on the box.”;abortion;Instagram posts; in an Instagram post;false
170;J.K. Rowling tweeted, “If you American birds could keep your legs closed then maybe you wouldn’t need abortions in the first place?”;abortion;Viral image; in a Tweet;false
171;A Texas GOP lawmaker recently introduced a bill that would allow the death penalty for women who have an abortion.;abortion;Instagram posts; in an Instagram post;mostly-true
172;“The majority of citizens in the country will have no change at all because … most of the population resides in states that have already protected abortion rights.”;abortion;Jonathan Turley; in an interview on Fox News;half-true
173;"The Supreme Court decision overturning Roe v. Wade ""made the United States an outlier among developed nations in the world"" on abortion rights.";abortion;Joe Biden; in a speech;mostly-true
174;Recent research suggests that 15% of abortions are the result of coercion.;abortion;X posts; in a tweet;barely-true
175;"Adam Laxalt ""supports eliminating Nevada's protections for legal abortions.""";abortion;Catherine Cortez Masto; in an ad;half-true
176;"“Wisconsin's archaic abortion ban is older than 20 states.""";abortion;Tony Evers; in Campaign email;true
177;A doctor at the Mayo Clinic is misdiagnosing pregnancies of Trump supporters so they have abortions.;abortion;Young America's Foundation; in a post;pants-fire
178;"""Our Supreme Court has never taken away a constitutional right.""";abortion;Tammy Baldwin; in TV interview;false
179;In the immediate wake of a fire and vandalism at the Madison headquarters of an anti-abortion group, Democrats had not condemned “activists who are engaging in this repugnant illegal activity.”;abortion;Ron Johnson; in News release;barely-true
180;Supreme Court Justice Clarence Thomas and his wife Ginni posted a photo of themselves enjoying a $5,135 bottle of wine “as American women despair about abortion rights being taken away from them.”;abortion;X posts; in a tweet;false
181;"""In Iran, if a 12-year-old girl is raped and impregnated by her father, she must carry the baby to term, or be thrown in prison for life. Wait, sorry, no, That's Alabama.""";abortion;Instagram posts; in a post;false
182;"“79% of Planned Parenthood clinics are in minority neighborhoods. This is not by accident. That is by its founder, Margaret Sanger's, eugenicist design.""";abortion;Candace Owens; in a tweet;barely-true
183;“We’re one of the seven nations in the world that allow abortion on demand at 20 weeks.”;abortion;Lindsey Graham; in an interview on Fox News Sunday;half-true
184;Supreme Court Justices Amy Coney Barrett and Samuel Alito said that the U.S. needs a “domestic supply of infants” to meet the needs of parents seeking to adopt.;abortion;Facebook posts; in a Facebook post;false
185;"Because of U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""";abortion;Kelda Helen Roys; in TV interview;true
186;"Video shows abortion rights activist urging women to ""run on down to the abortion clinic"" if they get pregnant.";abortion;Facebook posts; in a Facebook post;false
187;Mehmet Oz is “pro-abortion.”;abortion;Dave McCormick; in an ad;barely-true
188;Margaret Sanger, founder of Planned Parenthood, referred to Black women as weeds that needed to be plucked from their garden, and was a supporter of the Ku Klux Klan and a Democrat.;abortion;Peggy Hubbard; in a post;false
189;"""GOP Sen. Marsha Blackburn has proposed that birth control should only be legal for MARRIED couples.”";abortion;X posts; in a tweet;false
190;“Tennessee just banned Plan B and made it a crime punishable by a $50,000 fine to order it.”;abortion;Pam Keith; in a tweet;false
191;"""In Texas, Republicans passed a law allowing rapists to sue their victims for getting an abortion.""";abortion;Alexandria Ocasio-Cortez; in a tweet;false
192;When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it.;abortion;Andrea Stewart-Cousins; in a news conference;true
193;“Roe v. Wade happened because a woman lied about being raped by black men.”;abortion;Facebook posts; in a post;false
194;“Republicans DO NOT want to throw doctors” in jail.;abortion;National Republican Senatorial Committee; in a memo to Republican senate candidates and lawmakers;pants-fire
195;“Justices Gorsuch, Kavanaugh, and Barrett assured the Senate Judiciary Committee and the American people that Roe v. Wade was ‘established precedent.’”;abortion;Don Beyer; in a tweet.;mostly-true
196;“There has never been a leak anything like this” draft of a Supreme Court opinion that would overturn Roe v. Wade. “There’s never been a leak of a vote — much less an actual opinion, much less in a case of this significance.”;abortion;Jeffrey Toobin; in an interview on CNN;mostly-true
197;“There are 63 million abortions a year in this country.”;abortion;Jeanine  Pirro; in a segment on Fox News;false
198;Says he has “always” believed “in a woman’s right to choose.”;abortion;Charlie Crist; in an interview;false
199;“Colorado Governor Jared Polis has just signed into law a bill legalizing abortions through all nine months, up until the moment of birth.”;abortion;Facebook posts; in a photo on Facebook;false
200;“California introduces new bill that would allow mothers to kill their babies up to 7 days after birth.”;abortion;Facebook posts; in a Facebook post;false
201;Ketanji Brown Jackson “believes in abortion on demand up to the moment of birth.”;abortion;Bob Good; in a radio interview.;pants-fire
202;"Girl Scouts support ""Planned Parenthood and pro-abortion politicians.""";abortion;Facebook posts; in a post;false
203;“39 out of 42 (countries) in Europe have more restrictive abortion laws” than Mississippi.;abortion;Tate Reeves; in an interview on NBC's Meet the Press;half-true
204;“Roe was the end of women dying from abortions.”;abortion;Viral image; in a Facebook post;half-true
205;“Time and again Glenn Youngkin has made it clear: He would ban abortion as governor.”;abortion;Terry McAuliffe; in a tweet.;half-true
206;The Texas abortion law “provides at least six weeks for a person to be able to get an abortion.”;abortion;Greg Abbott; in a press conference;false
207;Texas “ranks 50th in baby wellness checks, ranks 50th in clinical care for infants, ranks 50th in uninsured women, ranks 43rd in maternal mortality, ranks 44th in school funding per child, and ranks 46th in child hunger.”;abortion;Occupy Democrats; in on social media;half-true
208;“Newly obtained emails show UCSF harvesting the clitorises, testicles and penises of murdered babies.”;abortion;Facebook posts; in a Facebook post;false
209;Says Joe Biden “will force Americans to pay for abortion — on demand — up to birth.”;abortion;Derrick Van Orden; in Twitter;barely-true
210;Says North Carolina’s proposed abortion bill would not “govern the conversation between the doctor and patient.”;abortion;Dean Arp; in in a committee meeting;barely-true
